source,target,value
代數入門.htm,一元一次方程式.htm,0.7
分數.htm,一元一次方程式.htm,0.7
正負數.htm,一元一次方程式.htm,0.7
一元一次方程式.htm,一元二次方程式.htm,0.8
全等形.htm,三角形的心.htm,0.8
一元一次方程式.htm,不等式.htm,0.7
代數入門.htm,不等式.htm,0.7
數線.htm,不等式.htm,0.7
一元一次方程式.htm,二元一次方程式.htm,0.7
一元二次方程式.htm,二次函數.htm,0.9
函數圖形.htm,二次函數.htm,0.9
分數.htm,代數入門.htm,0.4
幾何證明.htm,全等形.htm,0.8
面積的估算.htm,分數.htm,0.3
因數與倍數.htm,分數到小數.htm,0.5
幾何代數_乘法公式.htm,勾股定理.htm,0.8
全等形.htm,圓與角.htm,0.8
二次函數.htm,多項式.htm,0.9
全等形.htm,尺規作圖.htm,0.8
幾何證明.htm,尺規作圖.htm,0.8
指數與科學記號.htm,指數與對數.htm,1.0
分數到小數.htm,指數與科學記號.htm,0.7
一元二次方程式.htm,根式運算.htm,0.8
勾股定理.htm,根式運算.htm,0.8
函數圖形.htm,機率與統計.htm,0.9
比與比值.htm,機率與統計.htm,0.9
分數.htm,正負分數.htm,0.7
正負數.htm,正負分數.htm,0.7
比與比值.htm,正負分數.htm,0.7
體積與容積.htm,比與比值.htm,0.5
數線.htm,直角座標.htm,0.7
全等形.htm,相似三角形.htm,0.8
面積的估算.htm,體積與容積.htm,0.5
相似三角形.htm,三角函數,1.0
勾股定理.htm,三角函數,1.0
三角函數,三角測量,1.0
三角函數,極座標,1.0
極座標,複數的極式,1.1
一元二次方程式.htm,複數,1.1
複數,複數的極式,1.1
機率與統計.htm,排列組合,1.0
直角座標.htm,向量,1.1
向量,三維解析幾何,1.1
幾何證明.htm,邏輯與集合,1.1
幾何證明.htm,立體幾何,1.7
直角座標.htm,三維解析幾何,1.1
勾股定理.htm,圓的方程式,1.1
直角座標.htm,圓的方程式,1.1
圓的方程式,圓錐曲線,1.1
三角函數,圓錐曲線,1.1
二元一次方程式.htm,高斯消去法,1.1
向量,矩陣與線性變換,1.2
三角函數,微積分入門,1.2
指數與對數.htm,微積分入門,1.2
多項式.htm,微積分入門,1.2
高斯消去法,線性代數,1.3
矩陣與線性變換,線性代數,1.3
微積分入門,微積分,1.3
立體幾何,微積分,1.3
排列組合,離散數學,1.3
離散數學,資訊科學,1.3
微積分,資訊科學,1.3
資訊科學,數值分析,1.5
資訊科學,作業研究,1.5
排列組合,機率論,1.3
機率與統計,統計學,1.3
微積分,微分方程式,1.4
微積分,分析學,1.4
微積分,非標準分析,1.7
分析學,微分幾何,1.6
非標準分析,微分幾何,1.6
線性代數,抽象代數,1.5
物理::力學,向量,1.1
物理::力學,函數圖形,0.7
物理::力學,微積分,1.3
物理::電磁學,微分方程,1.3
物理::流體力學,微分方程,1.3
物理::熱力學,微分方程,1.3
化學::分子結構,抽象代數,1.6
化學::化學平衡式,二元一次方程式.htm,0.8
法律::理則學,邏輯與集合,1.1
藝術::透視法,三角函數,1.0
藝術::對稱圖,抽象代數,1.5
藝術::拼貼,抽象代數,1.5
資工::程式設計,資訊科學,1.3
資工::程式設計,統計學,1.3
資工::程式設計,集合與邏輯,1.3
