name,q
數線,用數線表示零到一百的數? 用數線表示負十到正十的數? 數線上兩點A和B的距離，如何寫成公式呢?
分數,用不同的方式，畫出四分之三? 算出2/7+3/8? 分數乘法為什麼是分子分母對應相乘呢? 分數除法為什麼是乘上倒數?
乘法,你能兩個一數、三個一數、五個一數嗎？你能算出5×16嗎? 你會背九九乘法表嗎? 你瞭解乘法表中，數字之間的關聯嗎? 你能用直式算1234×56嗎?
除法,你能將225元平均分配給3個人嗎? 你能用小容器倒水，量出它和大容器的容量比例嗎? 你能算73÷6嗎? 你能用直式算2314÷61嗎?
代數入門,若3x+1=7，請問x=?,若x=5，請問3x+1=?
12(數字猜謎搶答),只要A~6的樸克牌 洗亂面朝下 一次翻四張 玩家要用加減乘除湊出12 每張都要正好用一次 例如3_4_2_6可以用(4-3)×2×6=12湊出 先想到的人就拍桌 三秒內講出答案 就可拿走四張牌 最後比誰得到的多 如果實力差距太大，快的人可以讓秒
24(數字猜謎搶答),只要A~9的樸克牌 洗亂面朝下 一次翻四張 玩家要用加減乘除湊出24 每張都要正好用一次 例如9_6_3_7可以用(7-(93÷3))×6=24湊出 先想到的人就拍桌 三秒內講出答案 就可拿走四張牌 最後比誰得到的多，快的人可以讓秒
繞星星做乘法(圖象秩序),用星星製造機畫出一圈10個點 用印表機印出 貼在厚紙或木頭上 拿大頭針或釘子打上去 用一條線綁住其中一點 就可以開始繞 每次繞的時候以固定間距 就會形成有秩序的圖形 還可進一步分析秩序的成因
Just Make,這是4人玩的遊戲 每人發13張牌 排順序時照花色分門別類 A最大，再來是K，2最小，和橋牌一樣 但是不用叫王牌 第一局王牌自動是黑桃，第二局自動是紅心，依此類推，第五局是無王 叫牌時要估計自己能吃到幾墩 原本計分有點複雜 簡化之後如下 正好make時就得到和叫的數字一樣多的分數 沒有make也扣等量的分數 如果叫0墩的話分數算成5 打牌方式和橋牌一樣 4人順時鐘出一輪叫做一墩 後出的人都必須出和引牌的人一樣的花色 以大小決定誰吃到這墩 沒有的話才能王吃或墊牌 出王牌就比原本花色所有牌都大 否則就最小 吃到一墩的人就引下一墩的牌
棋子乘法(操作秩序),輪流出題 例如7×6 另一方用棋子排出長方形來 再移動它湊出許多十以得到結果 同一問題使用多種策略 最好是動的愈少就能顯示出答案
