source,target,value
三角函數,微積分入門,1.2
指數與對數.htm,微積分入門,1.2
多項式.htm,微積分入門,1.2
高斯消去法,線性代數,1.3
矩陣與線性變換,線性代數,1.3
微積分入門,微積分,1.3
立體幾何,微積分,1.3
排列組合,離散數學,1.3
離散數學,資訊科學,1.3
微積分,資訊科學,1.3
資訊科學,數值分析,1.5
資訊科學,作業研究,1.5
排列組合,機率論,1.3
機率與統計,統計學,1.3
微積分,微分方程式,1.4
微積分,分析學,1.4
微積分,非標準分析,1.7
分析學,微分幾何,1.6
非標準分析,微分幾何,1.6
線性代數,抽象代數,1.5
物理::力學,向量,1.1
物理::力學,函數圖形,0.7
物理::力學,微積分,1.3
物理::電磁學,微分方程,1.3
物理::流體力學,微分方程,1.3
物理::熱力學,微分方程,1.3
化學::分子結構,抽象代數,1.6
化學::化學平衡式,二元一次方程式.htm,0.8
法律::理則學,邏輯與集合,1.1
藝術::透視法,三角函數,1.0
藝術::對稱圖,抽象代數,1.5
藝術::拼貼,抽象代數,1.5
資工::程式設計,資訊科學,1.3
資工::程式設計,統計學,1.3
資工::程式設計,集合與邏輯,1.3
